index,지역명,연도,월,평당분양가격,전용면적
235,경기,2020,11,17397.6,102㎡~
236,경기,2020,12,13368.3,60㎡
237,경기,2020,12,14529.9,60㎡~85㎡
238,경기,2020,12,15213.0,85㎡~102㎡
239,경기,2020,12,17754.0,102㎡~
0,부산,2016,1,9738.3,60㎡
1,부산,2016,1,10088.1,60㎡~85㎡
2,부산,2016,1,9758.1,85㎡~102㎡
3,부산,2016,1,12579.599999999999,102㎡~
4,부산,2016,2,9896.699999999999,60㎡
5,부산,2016,2,10098.0,60㎡~85㎡
6,부산,2016,2,9758.1,85㎡~102㎡
7,부산,2016,2,12579.599999999999,102㎡~
8,부산,2016,3,9738.3,60㎡
9,부산,2016,3,10236.599999999999,60㎡~85㎡
10,부산,2016,3,9758.1,85㎡~102㎡
11,부산,2016,3,12299.099999999999,102㎡~
12,부산,2016,4,9810.9,60㎡
13,부산,2016,4,10187.099999999999,60㎡~85㎡
14,부산,2016,4,9669.0,85㎡~102㎡
15,부산,2016,4,12299.099999999999,102㎡~
16,부산,2016,5,9824.1,60㎡
17,부산,2016,5,10134.3,60㎡~85㎡
18,부산,2016,5,10216.8,85㎡~102㎡
19,부산,2016,5,11668.8,102㎡~
20,부산,2016,6,9807.6,60㎡
21,부산,2016,6,10127.699999999999,60㎡~85㎡
22,부산,2016,6,10734.9,85㎡~102㎡
23,부산,2016,6,12285.9,102㎡~
24,부산,2016,7,9896.699999999999,60㎡
25,부산,2016,7,10167.3,60㎡~85㎡
26,부산,2016,7,10880.099999999999,85㎡~102㎡
27,부산,2016,7,12784.199999999999,102㎡~
28,부산,2016,8,10068.3,60㎡
29,부산,2016,8,10233.3,60㎡~85㎡
30,부산,2016,8,11163.9,85㎡~102㎡
31,부산,2016,8,12784.199999999999,102㎡~
32,부산,2016,9,10055.1,60㎡
33,부산,2016,9,10253.099999999999,60㎡~85㎡
34,부산,2016,9,11163.9,85㎡~102㎡
35,부산,2016,9,12784.199999999999,102㎡~
36,부산,2016,10,10131.0,60㎡
37,부산,2016,10,10187.099999999999,60㎡~85㎡
38,부산,2016,10,11203.5,85㎡~102㎡
39,부산,2016,10,12672.0,102㎡~
40,부산,2016,11,10028.699999999999,60㎡
41,부산,2016,11,10131.0,60㎡~85㎡
42,부산,2016,11,11203.5,85㎡~102㎡
43,부산,2016,11,12672.0,102㎡~
44,부산,2016,12,9999.0,60㎡
45,부산,2016,12,10721.699999999999,60㎡~85㎡
46,부산,2016,12,11068.199999999999,85㎡~102㎡
47,부산,2016,12,13906.199999999999,102㎡~
48,부산,2017,1,9999.0,60㎡
49,부산,2017,1,10692.0,60㎡~85㎡
50,부산,2017,1,11068.199999999999,85㎡~102㎡
51,부산,2017,1,13906.199999999999,102㎡~
52,부산,2017,2,9999.0,60㎡
53,부산,2017,2,10688.699999999999,60㎡~85㎡
54,부산,2017,2,11068.199999999999,85㎡~102㎡
55,부산,2017,2,13906.199999999999,102㎡~
56,부산,2017,3,10305.9,60㎡
57,부산,2017,3,10800.9,60㎡~85㎡
58,부산,2017,3,11068.199999999999,85㎡~102㎡
59,부산,2017,3,12972.3,102㎡~
60,부산,2017,4,10193.699999999999,60㎡
61,부산,2017,4,10913.099999999999,60㎡~85㎡
62,부산,2017,4,11068.199999999999,85㎡~102㎡
63,부산,2017,4,12972.3,102㎡~
64,부산,2017,5,10348.8,60㎡
65,부산,2017,5,11965.8,60㎡~85㎡
66,부산,2017,5,9942.9,85㎡~102㎡
67,부산,2017,5,12962.4,102㎡~
68,부산,2017,6,10655.699999999999,60㎡
69,부산,2017,6,12203.4,60㎡~85㎡
70,부산,2017,6,9942.9,85㎡~102㎡
71,부산,2017,6,12599.4,102㎡~
72,부산,2017,7,10814.099999999999,60㎡
73,부산,2017,7,12269.4,60㎡~85㎡
74,부산,2017,7,11523.599999999999,85㎡~102㎡
75,부산,2017,7,11147.4,102㎡~
76,부산,2017,8,11408.099999999999,60㎡
77,부산,2017,8,12008.699999999999,60㎡~85㎡
78,부산,2017,8,11401.5,85㎡~102㎡
79,부산,2017,8,12018.599999999999,102㎡~
80,부산,2017,9,11441.099999999999,60㎡
81,부산,2017,9,11741.4,60㎡~85㎡
82,부산,2017,9,11358.599999999999,85㎡~102㎡
83,부산,2017,9,11998.8,102㎡~
84,부산,2017,10,11837.099999999999,60㎡
85,부산,2017,10,12325.5,60㎡~85㎡
86,부산,2017,10,11398.199999999999,85㎡~102㎡
87,부산,2017,10,11711.699999999999,102㎡~
88,부산,2017,11,12332.099999999999,60㎡
89,부산,2017,11,12549.9,60㎡~85㎡
90,부산,2017,11,12183.599999999999,85㎡~102㎡
91,부산,2017,11,12767.699999999999,102㎡~
92,부산,2017,12,12332.099999999999,60㎡
93,부산,2017,12,12549.9,60㎡~85㎡
94,부산,2017,12,12183.599999999999,85㎡~102㎡
95,부산,2017,12,12767.699999999999,102㎡~
96,부산,2018,1,12332.099999999999,60㎡
97,부산,2018,1,12549.9,60㎡~85㎡
98,부산,2018,1,12183.599999999999,85㎡~102㎡
